potao ku'm perm hornet. anih 'long. rogoh hloh wa tah horn todrong pogdp. kra. yang lam noh. ||| vua lập một. nơi. cực. thánh ở giữa ðền. thờ, phía trong, để đặt. hòm. bia. giao ước của ðức. chúa.
dah iĕm krao wơ̆n păng anăn. inh, iĕm apinh. inh wă tơdrong kiơ,. inh gô ăn kơ iĕm tơpă ưh kơ jor ôh. ||| nếu anh em nhân danh. thầy mà xin. thầy điều gì, thì chính. thầy sẽ làm điều đó.
dah iĕm lui kơ nơ̆r. môis tơpă, noh iĕm kư̆m wă lui kơ. inh mơ̆n, kơlih kơ sư chih roi tơdrong. inh. ||| vì nếu các ông tin ông. mô-sê, thì hẳn các ông cũng tin tôi, bởi lẽ ông ấy đã viết về tôi
dah iĕm mơ̆t oei tơ hnam ayơ, iĕm oei hloi tơ hnam noh đĕch truh tơ năr iĕm wă năm tơ pơlei nai. ||| khi anh em vào bất cứ nhà nào, thì ở lại đó và cũng từ đó mà ra đi
dah iĕm pơhrăm iŏk boih, iĕm gô đei tơdrong pơgŏl, đŏng toylrong pơgơ̆t iĕm gô đei jơhngơ̆m chŏn. dah jơhngơ̆m iĕm chŏn tơpă, noh iĕm gơh pơm kiơ̆ dôm tơdrong 'bok. kei-dei boih. ||| có hiểu biết lại thêm tiết độ, có tiết độ lại thêm kiên nhẫn, có kiên nhẫn lại thêm đạo đức,
dah iĕm pơm 'lơ̆ng kơ lu bơngai mă pơm 'lơ̆ng kơ iĕm đĕch, lei 'bok. kei-dei ưh kơ lăp đon ôh. bĭ lu bơngai yoch kư̆m băt băi pơm 'lơ̆ng kơ lu bơngai mă pơm 'lơ̆ng kơ sư mơ̆n. ||| và nếu anh em làm ơn cho kẻ làm ơn cho mình, thì còn gì là ân với nghĩa? ngay cả người tội lỗi cũng làm như thế.
dah iĕm pơm kiơ̆ dôm tơdrong 'bok. kei-dei, iĕm gô đei đon 'mêm kơ bôl buăl bơngai lui, dŏng noh na iĕm jing 'mêm kơ đĭ-đăng bơngai. ||| có đạo đức lại thêm tình huynh đệ, có tình huynh đệ lại thêm bác ái.
dah iĕm pơma kơ đe thoi noh, iĕm yoch tơpă boih, iĕm ưh kơ 'mêm kơ 'nhŏng oh lei-lăi. lĕm pơm thoi noh iĕm wă kơ yua akâu kơdih đô̆ch. ||| thì anh em đã chẳng tỏ ra kỳ thị và trở thành những thẩm phán đầy tà tâm đó sao?
dah iĕm rok kiơ̆ tơdrong juăt 'bok. kei. dei mă đe chih tơ lăm sŏrp.hlabơar sư, sư athei bơ̆n 'mêm kơ bôl buăl thoi bơ̆n 'mêm kơ akâu kơdih, tơ̆ng iĕm pơm thoi noh tơpă lei 'lô̆ng boih. ||| đã hẳn, anh em làm điều tốt, nếu anh em chu toàn luật. kinh. thánh đưa lên hàng đầu:. ngươi phải yêu người thân cận như chính mình.
dah iĕm răk dôm tơdrong. inh bơtho, lei inh 'mêm kơ iĕm tơpă, wei-lăng iĕm khŏm khŏm, kư̆m thoi. inh răk dôm tơdrong 'bă. inh bơtho na. sư 'mêm kơ. inh tơpă păng wei-lăng. inh khŏm khŏm mơ̆n. ||| nếu anh em giữ các điều răn của. thầy, anh em sẽ ở lại trong tình thương của. thầy, như. thầy đã giữ các điều răn của. cha. thầy và ở lại trong tình thương của. người.
dah iĕm răk dôm tơdrong. inh pơkă lei iĕm buăl juăt. inh tơpă. ||| anh em là bạn hữu của. thầy, nếu anh em thực hiện những điều. thầy truyền dạy.
dah iĕm triu. inh tơpă lei iĕm băt kơ 'bơ̆r. inh pơma hloi păng. inh kư̆m băt kơ iĕm mơ̆n, na iĕm kiơ̆. inh hloi. ||| chiên của tôi thì nghe tiếng tôi; tôi biết chúng và chúng theo tôi.
dah iĕm wă kơ bơngai mă gơh pơma nơ̆r hlĭch ư-ang kơ 'bok. kei-dei iung pơma kơ iĕm, lei iĕm athei ăn lăp 'bar 'nu dah pêng 'nu đĕch păng sư athei pơma bơlơh băl mơ-minh 'nu, ưh kơ gơh iung pơma minh 'măng hơdai hloi ôh. păng athei đei bơngai mă gơh tơblơ̆ nơ̆r hlĭch sư pơma noh mơ̆n. ||| nếu có nói tiếng lạ, thì chỉ hai hoặc tối đa ba người nói thôi, mỗi người cứ theo phiên mà nói, và phải có một người giải thích.
dah iĕm wă kơ đe băt kơ iĕm boyigai 'lơ̆ng, ưh kơ kăl kơ iĕm pơm sŏk pơlơng ôh, ưh kơ kăl iĕm 'bot pơrŏ tơkhiĕn maih, 'băk anam, dah hrŭk hơbĕn ao kăp jên. ||| ước chi vẻ duyên dáng của chị em không hệ tại cái mã bên ngoài như kết tóc, đeo vòng vàng, hay ăn mặc xa hoa;
dah iĕm wă sa et tơmam iĕm kơdih kuă kơ asong đe, lei iĕm kuă kơ kiơ kơ sa et tơ hnam iĕm kơdih? kơlih kơ kiơ iĕm wă pơm kơnê̆ tơ lăm hnam 'bok. kei-dei păng wă pơjăm lu bơngai dơnuh? inh 'nao pơma kiơ kơ iĕm dang ei hei, iĕm pơm thoi noh iĕm tơchĕng inh lăp đon kơ iĕm hă? ưh ôh, inh ưh kơ lăp đon kơ iĕm ôh. ||| anh em không có nhà để ăn uống sao? hay anh em khinh dể. hội. thánh của. thiên. chúa và làm nhục những người không có của? tôi phải nói gì với anh em? chẳng lẽ tôi khen anh em sao? về điểm này, tôi chẳng khen đâu!
dah iĕm ăn. yang. bơhngol 'lơ̆ng pơgơ̆r iĕm, lei iĕm ưh pă gơnang kơ akâu iĕm kơdih pơm kiơ̆ tơdrong juăt. môis ôh. ||| nếu anh em để cho. thần. khí hướng dẫn, thì anh em không còn lệ thuộc. lề. luật nữa.
dah iĕm đei mŭk tơmam tơ plĕnh ti, jơhngơ̆m đon iĕm kư̆m tơchĕng tơ noh mơ̆n. dah iĕm đei mŭk tơmam tơ teh âu, jơhngơ̆m đon iĕm kư̆m tơchĕng tơ teh âu mơ̆n. ||| vì kho tàng của anh em ở đâu, thì lòng anh em ở đó."
dah iĕm đei plei trem iĕm bơngai kiơ̆. inh tơpă păng đe gô 'bôh iĕm pơm thoi noh na đe ư-ang kơ 'bă. inh tơpă. ||| điều làm. chúa. cha được tôn vinh là:. anh em sinh nhiều hoa trái và trở thành môn đệ của. thầy.
dah iĕm đei tơdrong ơh, iĕm 'nĕ kơ pơm kơnê̆ kơ sư, 'nĕ tơhil băl đunh truh kơ măng,. ||| anh em nổi nóng ư? đừng phạm tội: chớ để mặt trời lặn mà cơn giận vẫn còn.
dah iĕm đei đon 'mêm mơnat dih băl, lei đĭ-đăng bơngai băt kơ iĕm lui kơ. inh.". ||| mọi người sẽ nhận biết anh em là môn đệ của. thầy ở điểm này: là anh em có lòng yêu thương nhau."
dah iĕm ưh kơ pơm tơpăt tơdrong wei-lăng mŭk tơmam ala teh âu, lei 'bok. kei-dei kư̆m ưh kơ wă ăn kơ iĕm wei-lăng mŭk tơmam tơ kơpal plĕnh ti mơ̆n. ||| vậy nếu anh em không trung tín trong việc sử dụng. tiền. của bất chính, thì ai sẽ tín nhiệm mà giao phó của cải chân thật cho anh em?
dah iĕm ưh kơ pơm tơpăt wei-lăng mŭk tơmam 'bok. kei-dei ăn kơ iĕm yua tơ ala teh âu, lei. sư kư̆m ưh kơ wă pơsư̆ ăn kơ iĕm mŭk tơmam tơ plĕnh ti mơ̆n. ||| và nếu anh em không trung tín trong việc sử dụng của cải của người khác, thì ai sẽ ban cho anh em của cải dành riêng cho anh em?"
dah iĕm ưh kơ đei tơchĕng hơdrol kơ pơm, na iĕm kư̆ kơ mă pơm đĕch, lei hli kơ iĕm kư̆ kơ tơiung đĕch, mă-lei ưh kơ pơkeh, na đĭ-đăng bơngai lu mă 'bôh hnam iĕm noh gô hiĕk achơ̆ kơ iĕm khan: ||| kẻo lỡ ra, đặt móng rồi mà không có khả năng làm xong, thì mọi người thấy vậy sẽ lên tiếng chê cười mà bảo:
dah jơhngơ̆m đon iĕm kuă kiơ̆. yang. bơhngol 'lơ̆ng bơtho, thoi noh. yang. bơhngol 'lơ̆ng lăng jơhngơ̆m đon tơdrong iĕm pơm ưh kơ layơ wă 'blep trŏ thoi. sư wă. jơhngơ̆m đon iĕm păng. yang. bơhngol 'lơ̆ng, bre sư pơjrot băl, na iĕm ưh kơ gơh pơm kiơ̆ kơ iĕm wă ôh. ||| vì tính xác thịt thì ước muốn những điều trái ngược với. thần. khí, còn. thần. khí lại ước muốn những điều trái ngược với tính xác thịt, đôi bên kình địch nhau, khiến anh em không làm được điều anh em muốn.
dah jơhngỡm đon bỡn lui thoi noh, 'bok. kei-dei jỗ bỡn bơngai ìơng hăm sư. 'bờr bơn rá roi kơ đe thoi noh, sư pơklaih bơn đỡng tơdrong yoch. ||| ctd:. lời đốc. chúa. trời đã khiến. ngài từ kẻ chết sóng lại, thl ngươi sẽ được cứu; ,ovì tin bởi ưong lòng mà được sự công-bình,. còn bỏi miệng làm chứng mà được sự cứu-rỗi.
dah khan kuăng kuăng deh kon! ||| con mau nỏi cho cha biết đang xảy ra chuyện gì đấy con?
dah kon drŏ-nglo. jese arih sot lăm kơpal teh âu dĭng truh dang yơ, na e păng teh đak e kư̆m ưh kơ đei dang noh mơ̆n; dang ei hloi, chông ba sư tơ inh âu; sư trŏ kơ lôch. ||| thật, hễ con trai. y-sai sống lâu trên mặt đất chừng nào, thì mầy và nước mầy chẳng vững bền chừng nấy. vậy bây giờ, hãy sai đi kiếm nó, dẫn nó về cho ta; vì nó phải chết hẳn.
dah kơchăng hâu pỗ, ning mônh ba gô tojrâm dih băl. ||| giun đã ra ngoài rồi thì ra luôn
dah kơplah 'bok. kei-dei krao iĕm lui sơ̆ iĕm bơngai đĭch đe, iĕm 'nĕ hăt 'nhĕng kơ đe wă chă tơdrong akâu kơdih rơngei hŏ. mă-lei dah yŏng iĕm mơnat ăn kơ iĕm rơngei 'noh 'lơ̆ng hloh. ||| bạn là nô lệ khi được kêu gọi ư? chớ bận tâm! ngay cả khi có thể được tự do, tốt hơn hãy lợi dụng thân phận nô lệ.
dah lu 'nhŏng oh bơ̆n mă tam lui kơ 'bok. kei-dei, sư krao bơ̆n tŏk sŏng por tơ hnam sư, mă sư pôk kơ bơ̆n 'nhĕm 'nhot kiơ kiơ, bơ̆n kư̆ kơ sa đĕch, 'nĕ kơ jet sư: "'nhĕm iĕm hăm sơmah ưh?". ||| nếu có người ngoại nào mời anh em và anh em muốn đi, thì cứ ăn tất cả những gì người ta dọn cho anh em, không cần phải đặt vấn đề lương tâm.
dah lu bơngai. isơrael wei răk dôm tơdrong. inh bơtho khan, dôm tơdrong juăt. môis đĩch đam. inh hlôi bơtho kơ lu sư, lei. inh gô ưh kơ lễ lu sư chă năm jờp-jang tơ 'nguaih kơ dêh char mà inh ăn boíh kơ lu yă 'bok lu sư. ||| ta sẽ không để chân ít-ra-en phiêu bạt đây đó, xa miền đất. ta đã ban cho tổ tiên chúng, chỉ cần chúng lo làm đúng theo những gì. ta đã truyền cho chúng, và đúng theo tất cả. lề. luật mà. mô-sê, tôi trung của. ta, đã truyền cho chúng
dah lu drŏ-kăn đei klo boih ưh kơ gơh achăng klo sư ôh. dah klo sư lôch sư gơh iŏk klo plơ̆ng, gô mơ̆ng kơ sư wă đĕch, mă-lei sư athei iŏk klo tơduă lui kơ. kră. yang. yêsu. krist. ||| người vợ bị ràng buộc bao lâu chồng còn sống. nếu chồng chết rồi, thì vợ được tự do, muốn lấy ai thì lấy, miễn là trong. chúa.
dah lu iem lap don, 'nd ko an minh 'nu bu lech klenh dong poiei au ndm roi an ko. polei. jesreel. ||| nếu thực sự các ông đồng lòng với tôi, thì đừng ai thoát khỏi thành mà đi báo tin cho. gít-rơ-en
dah lu iẽm mơnat ăn tơdrong yoch đe, lei 'bok. kei-dei kữm mơnat ăn kơ lu đe ei mơn. dah iẽm ưh kơ mơnat ăn tơdrong yoch đe, lei 'bok. kéi-dei kữm ưh kơ mơnat ăn kơlu bơngai ei. yèsư hăm. thòm. ||| kẻ nào mà các ngươi tha tội cho, thì tội sẽ được tha; còn kẻ nào các ngươi cầm tội lại, thì sẽ bị cầm cho kẻ đó
dah lu iẽm ưh kơ mơng kiờ nỡr lu nhõn păng ưh kơ chu kăt tơdra akar, lei ỉu nhôn pơdrâu iõk kon adruh ỉu nhôn, na lu nhõn gô năm oei tơ nai. ||| còn nếu các ông không nghe chúng tôi mà chịu cắt bì, thì chúng tôi sẽ bắt con gái chúng tôi về, và chúng tôi sẽ ra đi."
dah lu kon tơdăm sư đe pơyom, sư kư̆m ưh kơ băt; dah đe pơjăm lu sư, sư kư̆m ưh kơ 'bôh. ||| con cái nó có được vẻ vang rạng rỡ, nó cũng chẳng hay; chúng có bị khinh khi miệt thị, nó nào có biết!
dah lu stf mornat an, lei bdm arih, dah lu stf poloch bdn, ma thoi ya hi, lu beta ktfm wa loch ko rowet mon. ||| nếu chúng để chúng ta sống, thì chúng ta sẽ sống; mà nếu chúng giết chúng ta, thì chúng ta sẽ chết.
dah lu stf wa nam lu stf nam kid kd minh lam puan pah, dah nam u'h kd gdh pddar po'kuech td 'ma 'ngieo. kid kd tang- wang kdl anap gah yd na lu cherubim nam kid gah noh, tfh kd kal dar po'kuech 'ma 'ngieo. ||| lúc di chuyển, bốn bánh đi về bốn phía; lúc đi chúng không quay vào nhau, bởi vì đầu thần hộ giá hướng về phía nào, thì bánh xe cũng đi theo phía ấy; lúc đi chúng không quay vào nhau.
dah lu sư bơngai khan lê̆ adrol tơpă păng đei nơ̆r. kră. yang, lei lê̆ lu sư krao khan apinh. kră. yang. tih. hloh, wă kơ tơmam gĭt oei oei lăm hnam. kră. yang, lăm hnam pơtao. juđa păng pơlei tih. jêrusalem, đe huay kơ iŏk ba tơ char. babilôn. ||| nếu quả chúng là các tiên tri thật, và nếu chúng có lời của. chúa, hãy để chúng cầu thay với. chúa các đạo quân, hầu các vật dụng còn lại trong nhà. chúa, trong nhà của vua. giu-đa, và trong. giê-ru-sa-lem sẽ không bị mang qua. ba-by-lôn
dah lu sư gơnang kơ. inh bơwei, ngôi hiôk-hian hăm. inh" tơpă pơm hiôk-hian hăm. inh.". ||| kẻ nào bám lấy. ta để được che chở, thì hãy làm lành với. ta; với. ta, nó hãy làm lành.
dah lu sư hrõ jơhngỡm ơh klai. . yua kơ đe pợjuă p.ơđep, đei tơdrong pomat-tat păng ơh stfngon. ||| họ lại bị hạ số và phải cực lòng. vì sự hà-hiếp, sự gian-nan, và sự buồn-rầu.
dah lê̆ kơ nhi 'me sa kơdih đĕch? ||| phải chăng chỉ có tôi và anh. ba-na-ba không có quyền được miễn lao động?
dah lôch. ||| thà chết còn hơn
dah lôch lŏng loi. ||| thà chết còn hơn
dah lôch đek 'lơ̆ng hloh. ||| thà chết còn hơn
dah lăm pơlei dei pơđăm-jlt 'nu bơngai tơpăt,. krã. yang kữm wă pơlôch lu sư haiaah? ih ưh kơmơnat ănkơpơlei nohhă yua kơđei pơđăm-jĩt 'nu bơngai tơpăt oei lăm noh? ||| giả như trong thành có năm mươi người lành, chẳng lẽ. ngài tiêu diệt họ thật sao? chẳng lẽ. ngài không dung thứ cho thành đó, vì năm mươi người lành trong đó sao?
dah lĕch bĕ đĭ amih born dah xông pơgia xa hơtŭm. ||| bây giờ hai em hãy cùng mọi người ăn cơm thân mật, em rể nhé.
dah lẽch bẽ mõ, dang ai. ||| pơlao. chuơh. dreng hé môi cười để lộ ra hàm răng đều đặn trắng muốt, óng ả như váng
dah mat bon hu'ch hanh to'drong ala teh dech lei mat bon dang tol, tom to'drong akau bon jang kifm ifh ko 'idng, dang bdn oei lam mang mu ddch. ||| còn nếu mắt anh xấu, thì toàn thân anh sẽ tối. vậy nếu ánh sáng nơi anh lại thành bóng tối, thì tối biết chừng nào!
dah md. inh dn dei to'drong to'blah ham char noh pang khan: 'athei an kef de idk dao ho'la to'blah lam char', pang pcfloch param di kon bomgai pang lu sem doyong, . ||| hoặc là nếu. ta đem gươm đến phạt xứ ấy và phán:. gươm đao phải rảo qua khắp xứ và. ta sẽ diệt trừ cả người lẫn súc vật khỏi xứ này.
dah md dei peng 'nu dnd-nglo au:. noe,. daniel, ham. jop oei lam char ei, lei lap lu stf dech gefh klaih oei arih. yua kef tefdrong tcfpat lu stf ko'dih. krd. yang. tih. hloh khan thoi noh. '. ||| và nếu trong xứ ấy có ba người này là. nô_x0002_ê, ða-ni-ên và. gióp, thì những người ấy sẽ được thoát mạng nhờ sự công chính của mình - sấm ngôn của ðức. chúa là. chúa. thượng.
dah minh 'nu bơngai pơjing đei minh-hrĕng 'nu kon hơ'lơ̆p păng sư arih sot đunh sơnăm, mă-lei lăm jơhngơ̆m sư 'nhŏ mă đei tơdrong hiôk chơt păng sư lôch ưh kơ đei bơngai 'bŭ; inh khan kon nge rơngăt sư oei păi 'biơ̆ kơ bơngai noh 'mơ̆i. ||| giả như có người con đàn cháu đống, sống lâu trăm tuổi, nhưng người ấy lại sống không mảy may hạnh phúc, chết chẳng có mồ chôn, thì tôi buộc phải nói: người ấy kém may mắn hơn cả thai nhi chết yểu.
dah minh pah mat iem gah 'ma potn ko iem yoch, kuek tuk minh pah mat iem noh, na oei pa minh pah mat, 'noh 'idng hloh ko iem oei tom 'bar pah mat, ma-lei wa hudng po'di h3m akau to lam donau unh 'bok. kei-dei phak. ||| nếu mắt phải của anh làm cớ cho anh sa ngã, thì hãy móc mà ném đi; vì thà mất một phần thân thể, còn hơn là toàn thân bị ném vào hoả ngục.
dah minh pah mat iem pom ko iem yoch kuek hut minh pah mat iem 'noh, na oei pa minh pah noh idm goh mol oei lam deh char. bok. kei-dei. ||| nếu mắt anh làm cớ cho anh sa ngã, thì móc nó đi;
dah minh pah mat iem porni ko' iem yoch, kuek tuk minh pah mst iem noh, na oei pa minh pah mat ma-lei gob mdy oei ham 'bok. kei-. dei ling-lang. ||| nếu mắt anh làm cớ cho anh sa ngã, thì hãy móc mà ném đi;
dah minh pah ti idm gah 'ma pom ko idm yoch, chdng le minh pah ti iem noh, na oei p3 minh pah ti, 'noh 'idng hloh ko iem oei tom 'bar pah ti ma-lei wa hudng podi ham akau to lam donau unh 'bok. kei-dei phak. ||| nếu tay phải của anh làm cớ cho anh sa ngã, thì hãy chặt mà ném đi; vì thà mất một phần thân thể, còn hơn là toàn thân phải sa hoả ngục.
dah minh pom teh dak tcfblah dih bsl, teh dak noh gd ptfehah hiong. ||| người liền gọi họ đến, dùng dụ ngôn mà nói với họ: "xa-tan làm sao trừ. xa-tan được?
dah mă. bin đei tơdrong kiơ thâu? ||| liệu. bin có việc gì không?
dah mă ih ăn kơ bơngai ưh kơ gơh đŏk na khan: "apinh ih đŏk sơ̆p hla bơar âu,". na sư tơl khan: "inh ưh kơ băt kơ đŏk.". ||| lại đưa sách cho kẻ không biết đọc và nói: "ðọc đi!". hắn liền bảo: "tôi nào đâu biết chữ!"
dah mă đei dônh tơmam đe hiong mă-lei sơngah pơkă pơkăm hơlĕnh dơ̆ng păng pơm minh lăm lu tơdrong mă đe juăt kơ pơm, noh yoch bơih. ||| hoặc nếu xí được một của mất mà nói dối về của đó, hoặc thề dối về một trong các việc người ta phạm tội được;
dah nhi đei akăn kư̆m bơngai lui, na juăt kơ anhăk thoi đe. pêtrôs, thoi lu đe oh. yêsu, thoi lĕ lu jơ̆ng 'bang. yêsu nai, lê̆ kơ lu bơngai lui 'me sa sư, kư̆m gơh mơ̆n dah kiơ? ||| không có quyền đem theo một người chị em tín hữu như các tông đồ khác, như các anh em của. chúa và như ông. kê-pha?
dah nhôn wă, iĕm gơh 'me nhôn mơ̆n kơlih kơ nhôn bơngai bơtho iĕm. sơmă nhôn ưh kơ wă ôh, nhôn wă jang sa kơdih đĕch wă kơ iĕm jang sa kơdih lei-lăi thoi nhôn mơ̆n. ||| không phải là vì chúng tôi không có quyền hưởng sự giúp đỡ, nhưng là để nêu gương cho anh em bắt chước.
dah pơlei ayơ ưh kơ wă sơng iŏk iĕm, thoi noh na lăp iĕm brŏk đơ̆ng pơlei noh iĕm sơpuih 'bruih tơ jơ̆ng iĕm wă tơbăt ăn kơ lu sư 'bok. kei-dei wă phak ning-mônh.". ||| hễ người ta không đón tiếp anh em, thì khi ra khỏi thành, anh em hãy giũ bụi chân để tỏ ý phản đối họ."
